From country;Televote Points;To country
Azerbaijan;8.0;Bulgaria
Azerbaijan;0.0;Croatia
Azerbaijan;0.0;Cyprus
Azerbaijan;0.0;Czech Republic
Azerbaijan;4.0;France
Azerbaijan;1.0;Georgia
Azerbaijan;0.0;Germany
Azerbaijan;7.0;Hungary
Azerbaijan;6.0;Israel
Azerbaijan;0.0;Italy
Azerbaijan;0.0;Latvia
Azerbaijan;0.0;Lithuania
Azerbaijan;5.0;Malta
Azerbaijan;3.0;Poland
Azerbaijan;12.0;Russia
Azerbaijan;0.0;Serbia
Azerbaijan;0.0;Spain
Azerbaijan;0.0;Sweden
Azerbaijan;0.0;The Netherlands
Azerbaijan;10.0;Ukraine
Azerbaijan;0.0;United Kingdom
Belarus;7.0;Armenia
Belarus;1.0;Australia
Belarus;0.0;Austria
Belarus;8.0;Azerbaijan
Belarus;0.0;Belgium
Belarus;4.0;Bulgaria
Belarus;0.0;Croatia
Belarus;0.0;Cyprus
Belarus;0.0;Czech Republic
Belarus;0.0;France
Belarus;0.0;Georgia
Belarus;0.0;Germany
Belarus;3.0;Hungary
Belarus;0.0;Israel
Belarus;0.0;Italy
Belarus;5.0;Latvia
Belarus;0.0;Lithuania
Belarus;0.0;Malta
Belarus;6.0;Poland
Belarus;12.0;Russia
Belarus;0.0;Serbia
Belarus;0.0;Spain
Belarus;2.0;Sweden
Belarus;0.0;The Netherlands
Belarus;10.0;Ukraine
Belarus;0.0;United Kingdom
Belgium;7.0;Armenia
Belgium;4.0;Australia
Belgium;3.0;Austria
Belgium;0.0;Azerbaijan
Belgium;12.0;Belgium
Belgium;5.0;Bulgaria
Belgium;0.0;Croatia
Belgium;0.0;Cyprus
Belgium;0.0;Czech Republic
Belgium;8.0;France
Belgium;0.0;Georgia
Belgium;0.0;Germany
Belgium;0.0;Hungary
Belgium;0.0;Israel
Belgium;0.0;Italy
Belgium;0.0;Latvia
Belgium;0.0;Lithuania
Belgium;0.0;Malta
Belgium;12.0;Poland
Belgium;6.0;Russia
Belgium;0.0;Serbia
Belgium;0.0;Spain
Belgium;1.0;Sweden
Belgium;10.0;The Netherlands
Belgium;2.0;Ukraine
Belgium;0.0;United Kingdom
Bosnia & Herzegovina;0.0;Armenia
Bosnia & Herzegovina;3.0;Australia
Bosnia & Herzegovina;5.0;Austria
Bosnia & Herzegovina;8.0;Azerbaijan
Bosnia & Herzegovina;0.0;Belgium
Bosnia & Herzegovina;2.0;Bulgaria
Bosnia & Herzegovina;10.0;Croatia
Bosnia & Herzegovina;0.0;Cyprus
Bosnia & Herzegovina;0.0;Czech Republic
Bosnia & Herzegovina;4.0;France
Bosnia & Herzegovina;0.0;Georgia
Bosnia & Herzegovina;0.0;Germany
Bosnia & Herzegovina;1.0;Hungary
Bosnia & Herzegovina;0.0;Israel
Bosnia & Herzegovina;0.0;Italy
Bosnia & Herzegovina;0.0;Latvia
Bosnia & Herzegovina;0.0;Lithuania
Bosnia & Herzegovina;0.0;Malta
Bosnia & Herzegovina;0.0;Poland
Bosnia & Herzegovina;6.0;Russia
Bosnia & Herzegovina;12.0;Serbia
Bosnia & Herzegovina;0.0;Spain
Bosnia & Herzegovina;0.0;Sweden
Bosnia & Herzegovina;0.0;The Netherlands
Bosnia & Herzegovina;7.0;Ukraine
Bosnia & Herzegovina;0.0;United Kingdom
Bulgaria;8.0;Armenia
Bulgaria;5.0;Australia
Bulgaria;4.0;Austria
Bulgaria;1.0;Azerbaijan
Bulgaria;0.0;Belgium
Bulgaria;12.0;Bulgaria
Bulgaria;0.0;Croatia
Bulgaria;7.0;Cyprus
Bulgaria;0.0;Czech Republic
Bulgaria;0.0;France
Bulgaria;0.0;Georgia
Bulgaria;0.0;Germany
Bulgaria;0.0;Hungary
Bulgaria;2.0;Israel
Bulgaria;0.0;Italy
Bulgaria;0.0;Latvia
Bulgaria;0.0;Lithuania
Bulgaria;0.0;Malta
Bulgaria;6.0;Poland
Bulgaria;12.0;Russia
Bulgaria;0.0;Serbia
Bulgaria;0.0;Spain
Bulgaria;3.0;Sweden
Bulgaria;0.0;The Netherlands
Bulgaria;10.0;Ukraine
Bulgaria;0.0;United Kingdom
Croatia;0.0;Armenia
Croatia;5.0;Australia
Croatia;6.0;Austria
Croatia;0.0;Azerbaijan
Croatia;0.0;Belgium
Croatia;1.0;Bulgaria
Croatia;12.0;Croatia
Croatia;0.0;Cyprus
Croatia;0.0;Czech Republic
Croatia;2.0;France
Croatia;0.0;Georgia
Croatia;0.0;Germany
Croatia;3.0;Hungary
Croatia;0.0;Israel
Croatia;0.0;Italy
Croatia;0.0;Latvia
Croatia;0.0;Lithuania
Croatia;0.0;Malta
Croatia;4.0;Poland
Croatia;8.0;Russia
Croatia;12.0;Serbia
Croatia;0.0;Spain
Croatia;7.0;Sweden
Croatia;0.0;The Netherlands
Croatia;10.0;Ukraine
Croatia;0.0;United Kingdom
Cyprus;8.0;Armenia
Cyprus;5.0;Australia
Cyprus;0.0;Austria
Cyprus;0.0;Azerbaijan
Cyprus;0.0;Belgium
Cyprus;12.0;Bulgaria
Cyprus;0.0;Croatia
Cyprus;12.0;Cyprus
Cyprus;0.0;Czech Republic
Cyprus;6.0;France
Cyprus;0.0;Georgia
Cyprus;0.0;Germany
Cyprus;4.0;Hungary
Cyprus;0.0;Israel
Cyprus;0.0;Italy
Cyprus;0.0;Latvia
Cyprus;3.0;Lithuania
Cyprus;0.0;Malta
Cyprus;2.0;Poland
Cyprus;10.0;Russia
Cyprus;0.0;Serbia
Cyprus;0.0;Spain
Cyprus;1.0;Sweden
Cyprus;0.0;The Netherlands
Cyprus;7.0;Ukraine
Cyprus;0.0;United Kingdom
Czech Republic;8.0;Armenia
Czech Republic;1.0;Australia
Czech Republic;4.0;Austria
Czech Republic;6.0;Azerbaijan
Czech Republic;0.0;Belgium
Czech Republic;5.0;Bulgaria
Czech Republic;0.0;Croatia
Czech Republic;0.0;Cyprus
Czech Republic;12.0;Czech Republic
Czech Republic;0.0;France
Czech Republic;0.0;Georgia
Czech Republic;0.0;Germany
Czech Republic;3.0;Hungary
Czech Republic;0.0;Israel
Czech Republic;0.0;Italy
Czech Republic;0.0;Latvia
Czech Republic;0.0;Lithuania
Czech Republic;0.0;Malta
Czech Republic;7.0;Poland
Czech Republic;10.0;Russia
Czech Republic;0.0;Serbia
Czech Republic;0.0;Spain
Czech Republic;2.0;Sweden
Czech Republic;0.0;The Netherlands
Czech Republic;12.0;Ukraine
Czech Republic;0.0;United Kingdom
Denmark;0.0;Armenia
Denmark;10.0;Australia
Denmark;1.0;Austria
Denmark;0.0;Azerbaijan
Denmark;8.0;Belgium
Denmark;0.0;Bulgaria
Denmark;0.0;Croatia
Denmark;0.0;Cyprus
Denmark;0.0;Czech Republic
Denmark;2.0;France
Denmark;0.0;Georgia
Denmark;0.0;Germany
Denmark;0.0;Hungary
Denmark;0.0;Israel
Denmark;0.0;Italy
Denmark;0.0;Latvia
Denmark;6.0;Lithuania
Denmark;0.0;Malta
Denmark;5.0;Poland
Denmark;4.0;Russia
Denmark;0.0;Serbia
Denmark;0.0;Spain
Denmark;12.0;Sweden
Denmark;7.0;The Netherlands
Denmark;3.0;Ukraine
Denmark;0.0;United Kingdom
Estonia;0.0;Armenia
Estonia;4.0;Australia
Estonia;6.0;Austria
Estonia;0.0;Azerbaijan
Estonia;0.0;Belgium
Estonia;0.0;Bulgaria
Estonia;0.0;Croatia
Estonia;3.0;Cyprus
Estonia;0.0;Czech Republic
Estonia;2.0;France
Estonia;0.0;Georgia
Estonia;0.0;Germany
Estonia;0.0;Hungary
Estonia;0.0;Israel
Estonia;0.0;Italy
Estonia;7.0;Latvia
Estonia;5.0;Lithuania
Estonia;0.0;Malta
Estonia;1.0;Poland
Estonia;12.0;Russia
Estonia;0.0;Serbia
Estonia;0.0;Spain
Estonia;10.0;Sweden
Estonia;0.0;The Netherlands
Estonia;8.0;Ukraine
Estonia;0.0;United Kingdom
F.Y.R. Macedonia;7.0;Armenia
F.Y.R. Macedonia;3.0;Australia
F.Y.R. Macedonia;0.0;Austria
F.Y.R. Macedonia;0.0;Azerbaijan
F.Y.R. Macedonia;4.0;Belgium
F.Y.R. Macedonia;10.0;Bulgaria
F.Y.R. Macedonia;5.0;Croatia
F.Y.R. Macedonia;0.0;Cyprus
F.Y.R. Macedonia;0.0;Czech Republic
F.Y.R. Macedonia;0.0;France
F.Y.R. Macedonia;0.0;Georgia
F.Y.R. Macedonia;0.0;Germany
F.Y.R. Macedonia;0.0;Hungary
F.Y.R. Macedonia;0.0;Israel
F.Y.R. Macedonia;1.0;Italy
F.Y.R. Macedonia;0.0;Latvia
F.Y.R. Macedonia;0.0;Lithuania
F.Y.R. Macedonia;0.0;Malta
F.Y.R. Macedonia;2.0;Poland
F.Y.R. Macedonia;8.0;Russia
F.Y.R. Macedonia;12.0;Serbia
F.Y.R. Macedonia;0.0;Spain
F.Y.R. Macedonia;0.0;Sweden
F.Y.R. Macedonia;0.0;The Netherlands
F.Y.R. Macedonia;6.0;Ukraine
F.Y.R. Macedonia;0.0;United Kingdom
Finland;0.0;Armenia
Finland;7.0;Australia
Finland;6.0;Austria
Finland;0.0;Azerbaijan
Finland;0.0;Belgium
Finland;4.0;Bulgaria
Finland;0.0;Croatia
Finland;1.0;Cyprus
Finland;0.0;Czech Republic
Finland;3.0;France
Finland;0.0;Georgia
Finland;0.0;Germany
Finland;0.0;Hungary
Finland;0.0;Israel
Finland;0.0;Italy
Finland;2.0;Latvia
Finland;0.0;Lithuania
Finland;0.0;Malta
Finland;5.0;Poland
Finland;8.0;Russia
Finland;0.0;Serbia
Finland;0.0;Spain
Finland;10.0;Sweden
Finland;0.0;The Netherlands
Finland;12.0;Ukraine
Finland;0.0;United Kingdom
France;12.0;Armenia
France;0.0;Australia
France;8.0;Austria
France;0.0;Azerbaijan
France;4.0;Belgium
France;5.0;Bulgaria
France;0.0;Croatia
France;0.0;Cyprus
France;0.0;Czech Republic
France;12.0;France
France;0.0;Georgia
France;0.0;Germany
France;0.0;Hungary
France;3.0;Israel
France;0.0;Italy
France;0.0;Latvia
France;0.0;Lithuania
France;0.0;Malta
France;7.0;Poland
France;6.0;Russia
France;0.0;Serbia
France;1.0;Spain
France;2.0;Sweden
France;0.0;The Netherlands
France;10.0;Ukraine
France;0.0;United Kingdom
Georgia;12.0;Armenia
Georgia;1.0;Australia
Georgia;0.0;Austria
Georgia;7.0;Azerbaijan
Georgia;0.0;Belgium
Georgia;3.0;Bulgaria
Georgia;0.0;Croatia
Georgia;0.0;Cyprus
Georgia;0.0;Czech Republic
Georgia;0.0;France
Georgia;12.0;Georgia
Georgia;0.0;Germany
Georgia;2.0;Hungary
Georgia;0.0;Israel
Georgia;0.0;Italy
Georgia;6.0;Latvia
Georgia;5.0;Lithuania
Georgia;0.0;Malta
Georgia;4.0;Poland
Georgia;8.0;Russia
Georgia;0.0;Serbia
Georgia;0.0;Spain
Georgia;0.0;Sweden
Georgia;0.0;The Netherlands
Georgia;10.0;Ukraine
Georgia;0.0;United Kingdom
Germany;2.0;Armenia
Germany;5.0;Australia
Germany;7.0;Austria
Germany;0.0;Azerbaijan
Germany;0.0;Belgium
Germany;4.0;Bulgaria
Germany;0.0;Croatia
Germany;0.0;Cyprus
Germany;0.0;Czech Republic
Germany;0.0;France
Germany;0.0;Georgia
Germany;12.0;Germany
Germany;0.0;Hungary
Germany;0.0;Israel
Germany;1.0;Italy
Germany;0.0;Latvia
Germany;0.0;Lithuania
Germany;0.0;Malta
Germany;10.0;Poland
Germany;12.0;Russia
Germany;0.0;Serbia
Germany;0.0;Spain
Germany;8.0;Sweden
Germany;3.0;The Netherlands
Germany;6.0;Ukraine
Germany;0.0;United Kingdom
Greece;8.0;Armenia
Greece;5.0;Australia
Greece;1.0;Austria
Greece;0.0;Azerbaijan
Greece;0.0;Belgium
Greece;7.0;Bulgaria
Greece;0.0;Croatia
Greece;12.0;Cyprus
Greece;0.0;Czech Republic
Greece;4.0;France
Greece;0.0;Georgia
Greece;0.0;Germany
Greece;2.0;Hungary
Greece;0.0;Israel
Greece;0.0;Italy
Greece;0.0;Latvia
Greece;0.0;Lithuania
Greece;0.0;Malta
Greece;3.0;Poland
Greece;10.0;Russia
Greece;0.0;Serbia
Greece;0.0;Spain
Greece;0.0;Sweden
Greece;0.0;The Netherlands
Greece;6.0;Ukraine
Greece;0.0;United Kingdom
Hungary;0.0;Armenia
Hungary;3.0;Australia
Hungary;6.0;Austria
Hungary;0.0;Azerbaijan
Hungary;0.0;Belgium
Hungary;4.0;Bulgaria
Hungary;0.0;Croatia
Hungary;5.0;Cyprus
Hungary;0.0;Czech Republic
Hungary;1.0;France
Hungary;0.0;Georgia
Hungary;0.0;Germany
Hungary;12.0;Hungary
Hungary;0.0;Israel
Hungary;0.0;Italy
Hungary;0.0;Latvia
Hungary;0.0;Lithuania
Hungary;0.0;Malta
Hungary;8.0;Poland
Hungary;10.0;Russia
Hungary;0.0;Serbia
Hungary;0.0;Spain
Hungary;7.0;Sweden
Hungary;2.0;The Netherlands
Hungary;12.0;Ukraine
Hungary;0.0;United Kingdom
Iceland;0.0;Armenia
Iceland;8.0;Australia
Iceland;2.0;Austria
Iceland;1.0;Azerbaijan
Iceland;3.0;Belgium
Iceland;0.0;Bulgaria
Iceland;0.0;Croatia
Iceland;0.0;Cyprus
Iceland;0.0;Czech Republic
Iceland;5.0;France
Iceland;0.0;Georgia
Iceland;0.0;Germany
Iceland;0.0;Hungary
Iceland;0.0;Israel
Iceland;0.0;Italy
Iceland;0.0;Latvia
Iceland;4.0;Lithuania
Iceland;0.0;Malta
Iceland;10.0;Poland
Iceland;7.0;Russia
Iceland;0.0;Serbia
Iceland;0.0;Spain
Iceland;12.0;Sweden
Iceland;6.0;The Netherlands
Iceland;0.0;Ukraine
Iceland;0.0;United Kingdom
Ireland;0.0;Armenia
Ireland;6.0;Australia
Ireland;1.0;Austria
Ireland;0.0;Azerbaijan
Ireland;0.0;Belgium
Ireland;5.0;Bulgaria
Ireland;0.0;Croatia
Ireland;0.0;Cyprus
Ireland;0.0;Czech Republic
Ireland;0.0;France
Ireland;0.0;Georgia
Ireland;0.0;Germany
Ireland;0.0;Hungary
Ireland;0.0;Israel
Ireland;0.0;Italy
Ireland;7.0;Latvia
Ireland;12.0;Lithuania
Ireland;0.0;Malta
Ireland;10.0;Poland
Ireland;8.0;Russia
Ireland;0.0;Serbia
Ireland;0.0;Spain
Ireland;2.0;Sweden
Ireland;0.0;The Netherlands
Ireland;4.0;Ukraine
Ireland;3.0;United Kingdom
Israel;6.0;Armenia
Israel;5.0;Australia
Israel;3.0;Austria
Israel;2.0;Azerbaijan
Israel;1.0;Belgium
Israel;7.0;Bulgaria
Israel;0.0;Croatia
Israel;0.0;Cyprus
Israel;0.0;Czech Republic
Israel;12.0;France
Israel;0.0;Georgia
Israel;0.0;Germany
Israel;0.0;Hungary
Israel;12.0;Israel
Israel;0.0;Italy
Israel;0.0;Latvia
Israel;0.0;Lithuania
Israel;0.0;Malta
Israel;4.0;Poland
Israel;10.0;Russia
Israel;0.0;Serbia
Israel;0.0;Spain
Israel;0.0;Sweden
Israel;0.0;The Netherlands
Israel;8.0;Ukraine
Israel;0.0;United Kingdom
Italy;1.0;Armenia
Italy;0.0;Australia
Italy;0.0;Austria
Italy;0.0;Azerbaijan
Italy;0.0;Belgium
Italy;7.0;Bulgaria
Italy;0.0;Croatia
Italy;6.0;Cyprus
Italy;0.0;Czech Republic
Italy;5.0;France
Italy;3.0;Georgia
Italy;0.0;Germany
Italy;0.0;Hungary
Italy;0.0;Israel
Italy;12.0;Italy
Italy;0.0;Latvia
Italy;2.0;Lithuania
Italy;0.0;Malta
Italy;10.0;Poland
Italy;8.0;Russia
Italy;4.0;Serbia
Italy;0.0;Spain
Italy;0.0;Sweden
Italy;0.0;The Netherlands
Italy;12.0;Ukraine
Italy;0.0;United Kingdom
Latvia;0.0;Armenia
Latvia;6.0;Australia
Latvia;4.0;Austria
Latvia;3.0;Azerbaijan
Latvia;0.0;Belgium
Latvia;1.0;Bulgaria
Latvia;0.0;Croatia
Latvia;0.0;Cyprus
Latvia;0.0;Czech Republic
Latvia;0.0;France
Latvia;2.0;Georgia
Latvia;0.0;Germany
Latvia;0.0;Hungary
Latvia;0.0;Israel
Latvia;0.0;Italy
Latvia;12.0;Latvia
Latvia;8.0;Lithuania
Latvia;0.0;Malta
Latvia;5.0;Poland
Latvia;12.0;Russia
Latvia;0.0;Serbia
Latvia;0.0;Spain
Latvia;7.0;Sweden
Latvia;0.0;The Netherlands
Latvia;10.0;Ukraine
Latvia;0.0;United Kingdom
Lithuania;0.0;Armenia
Lithuania;5.0;Australia
Lithuania;1.0;Austria
Lithuania;0.0;Azerbaijan
Lithuania;0.0;Belgium
Lithuania;0.0;Bulgaria
Lithuania;0.0;Croatia
Lithuania;0.0;Cyprus
Lithuania;0.0;Czech Republic
Lithuania;3.0;France
Lithuania;4.0;Georgia
Lithuania;0.0;Germany
Lithuania;2.0;Hungary
Lithuania;0.0;Israel
Lithuania;0.0;Italy
Lithuania;12.0;Latvia
Lithuania;12.0;Lithuania
Lithuania;0.0;Malta
Lithuania;6.0;Poland
Lithuania;8.0;Russia
Lithuania;0.0;Serbia
Lithuania;0.0;Spain
Lithuania;7.0;Sweden
Lithuania;0.0;The Netherlands
Lithuania;10.0;Ukraine
Lithuania;0.0;United Kingdom
Malta;0.0;Armenia
Malta;12.0;Australia
Malta;0.0;Austria
Malta;6.0;Azerbaijan
Malta;0.0;Belgium
Malta;8.0;Bulgaria
Malta;0.0;Croatia
Malta;0.0;Cyprus
Malta;0.0;Czech Republic
Malta;2.0;France
Malta;0.0;Georgia
Malta;0.0;Germany
Malta;5.0;Hungary
Malta;0.0;Israel
Malta;7.0;Italy
Malta;0.0;Latvia
Malta;0.0;Lithuania
Malta;12.0;Malta
Malta;0.0;Poland
Malta;10.0;Russia
Malta;0.0;Serbia
Malta;0.0;Spain
Malta;0.0;Sweden
Malta;3.0;The Netherlands
Malta;4.0;Ukraine
Malta;1.0;United Kingdom
Moldova;7.0;Armenia
Moldova;5.0;Australia
Moldova;4.0;Austria
Moldova;8.0;Azerbaijan
Moldova;0.0;Belgium
Moldova;2.0;Bulgaria
Moldova;0.0;Croatia
Moldova;0.0;Cyprus
Moldova;0.0;Czech Republic
Moldova;6.0;France
Moldova;0.0;Georgia
Moldova;0.0;Germany
Moldova;0.0;Hungary
Moldova;0.0;Israel
Moldova;0.0;Italy
Moldova;1.0;Latvia
Moldova;3.0;Lithuania
Moldova;0.0;Malta
Moldova;0.0;Poland
Moldova;12.0;Russia
Moldova;0.0;Serbia
Moldova;0.0;Spain
Moldova;0.0;Sweden
Moldova;0.0;The Netherlands
Moldova;10.0;Ukraine
Moldova;0.0;United Kingdom
Montenegro;0.0;Armenia
Montenegro;0.0;Australia
Montenegro;0.0;Austria
Montenegro;7.0;Azerbaijan
Montenegro;0.0;Belgium
Montenegro;5.0;Bulgaria
Montenegro;6.0;Croatia
Montenegro;0.0;Cyprus
Montenegro;0.0;Czech Republic
Montenegro;1.0;France
Montenegro;0.0;Georgia
Montenegro;0.0;Germany
Montenegro;3.0;Hungary
Montenegro;0.0;Israel
Montenegro;4.0;Italy
Montenegro;0.0;Latvia
Montenegro;2.0;Lithuania
Montenegro;0.0;Malta
Montenegro;0.0;Poland
Montenegro;10.0;Russia
Montenegro;12.0;Serbia
Montenegro;0.0;Spain
Montenegro;0.0;Sweden
Montenegro;0.0;The Netherlands
Montenegro;8.0;Ukraine
Montenegro;0.0;United Kingdom
Norway;0.0;Armenia
Norway;8.0;Australia
Norway;0.0;Austria
Norway;0.0;Azerbaijan
Norway;2.0;Belgium
Norway;5.0;Bulgaria
Norway;0.0;Croatia
Norway;0.0;Cyprus
Norway;0.0;Czech Republic
Norway;1.0;France
Norway;0.0;Georgia
Norway;0.0;Germany
Norway;0.0;Hungary
Norway;0.0;Israel
Norway;0.0;Italy
Norway;3.0;Latvia
Norway;12.0;Lithuania
Norway;0.0;Malta
Norway;10.0;Poland
Norway;6.0;Russia
Norway;0.0;Serbia
Norway;0.0;Spain
Norway;7.0;Sweden
Norway;0.0;The Netherlands
Norway;4.0;Ukraine
Norway;0.0;United Kingdom
Poland;2.0;Armenia
Poland;7.0;Australia
Poland;4.0;Austria
Poland;0.0;Azerbaijan
Poland;0.0;Belgium
Poland;3.0;Bulgaria
Poland;0.0;Croatia
Poland;1.0;Cyprus
Poland;0.0;Czech Republic
Poland;0.0;France
Poland;0.0;Georgia
Poland;0.0;Germany
Poland;6.0;Hungary
Poland;0.0;Israel
Poland;0.0;Italy
Poland;5.0;Latvia
Poland;0.0;Lithuania
Poland;0.0;Malta
Poland;12.0;Poland
Poland;8.0;Russia
Poland;0.0;Serbia
Poland;0.0;Spain
Poland;10.0;Sweden
Poland;0.0;The Netherlands
Poland;12.0;Ukraine
Poland;0.0;United Kingdom
Russia;12.0;Armenia
Russia;4.0;Australia
Russia;8.0;Austria
Russia;6.0;Azerbaijan
Russia;0.0;Belgium
Russia;0.0;Bulgaria
Russia;0.0;Croatia
Russia;7.0;Cyprus
Russia;0.0;Czech Republic
Russia;3.0;France
Russia;0.0;Georgia
Russia;0.0;Germany
Russia;0.0;Hungary
Russia;0.0;Israel
Russia;0.0;Italy
Russia;1.0;Latvia
Russia;0.0;Lithuania
Russia;0.0;Malta
Russia;5.0;Poland
Russia;12.0;Russia
Russia;0.0;Serbia
Russia;0.0;Spain
Russia;2.0;Sweden
Russia;0.0;The Netherlands
Russia;10.0;Ukraine
Russia;0.0;United Kingdom
San Marino;2.0;Armenia
San Marino;5.0;Australia
San Marino;0.0;Austria
San Marino;0.0;Azerbaijan
San Marino;0.0;Belgium
San Marino;3.0;Bulgaria
San Marino;0.0;Croatia
San Marino;0.0;Cyprus
San Marino;0.0;Czech Republic
San Marino;0.0;France
San Marino;0.0;Georgia
San Marino;0.0;Germany
San Marino;1.0;Hungary
San Marino;0.0;Israel
San Marino;0.0;Italy
San Marino;6.0;Latvia
San Marino;8.0;Lithuania
San Marino;0.0;Malta
San Marino;7.0;Poland
San Marino;10.0;Russia
San Marino;0.0;Serbia
San Marino;0.0;Spain
San Marino;4.0;Sweden
San Marino;0.0;The Netherlands
San Marino;12.0;Ukraine
San Marino;0.0;United Kingdom
Serbia;2.0;Armenia
Serbia;6.0;Australia
Serbia;0.0;Austria
Serbia;0.0;Azerbaijan
Serbia;5.0;Belgium
Serbia;8.0;Bulgaria
Serbia;4.0;Croatia
Serbia;3.0;Cyprus
Serbia;0.0;Czech Republic
Serbia;0.0;France
Serbia;0.0;Georgia
Serbia;0.0;Germany
Serbia;10.0;Hungary
Serbia;0.0;Israel
Serbia;0.0;Italy
Serbia;0.0;Latvia
Serbia;0.0;Lithuania
Serbia;0.0;Malta
Serbia;0.0;Poland
Serbia;12.0;Russia
Serbia;12.0;Serbia
Serbia;0.0;Spain
Serbia;1.0;Sweden
Serbia;0.0;The Netherlands
Serbia;7.0;Ukraine
Serbia;0.0;United Kingdom
Slovenia;0.0;Armenia
Slovenia;3.0;Australia
Slovenia;6.0;Austria
Slovenia;0.0;Azerbaijan
Slovenia;0.0;Belgium
Slovenia;2.0;Bulgaria
Slovenia;8.0;Croatia
Slovenia;0.0;Cyprus
Slovenia;0.0;Czech Republic
Slovenia;0.0;France
Slovenia;0.0;Georgia
Slovenia;0.0;Germany
Slovenia;0.0;Hungary
Slovenia;0.0;Israel
Slovenia;1.0;Italy
Slovenia;0.0;Latvia
Slovenia;0.0;Lithuania
Slovenia;0.0;Malta
Slovenia;4.0;Poland
Slovenia;10.0;Russia
Slovenia;12.0;Serbia
Slovenia;0.0;Spain
Slovenia;5.0;Sweden
Slovenia;0.0;The Netherlands
Slovenia;7.0;Ukraine
Slovenia;0.0;United Kingdom
Spain;6.0;Armenia
Spain;4.0;Australia
Spain;2.0;Austria
Spain;0.0;Azerbaijan
Spain;0.0;Belgium
Spain;12.0;Bulgaria
Spain;0.0;Croatia
Spain;0.0;Cyprus
Spain;0.0;Czech Republic
Spain;10.0;France
Spain;0.0;Georgia
Spain;0.0;Germany
Spain;0.0;Hungary
Spain;0.0;Israel
Spain;3.0;Italy
Spain;0.0;Latvia
Spain;0.0;Lithuania
Spain;0.0;Malta
Spain;5.0;Poland
Spain;8.0;Russia
Spain;0.0;Serbia
Spain;12.0;Spain
Spain;1.0;Sweden
Spain;0.0;The Netherlands
Spain;7.0;Ukraine
Spain;0.0;United Kingdom
Sweden;0.0;Armenia
Sweden;12.0;Australia
Sweden;5.0;Austria
Sweden;0.0;Azerbaijan
Sweden;0.0;Belgium
Sweden;4.0;Bulgaria
Sweden;0.0;Croatia
Sweden;0.0;Cyprus
Sweden;0.0;Czech Republic
Sweden;3.0;France
