cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
04270-000;-23.5909812;-46.6132789;04513-000;-23.5976017;-46.6727025
02259-000;-23.4708897;-46.5802801;02415-000;-23.4734933;-46.6302071
02925-000;-23.5008851;-46.69974939999999;05736-000;-23.6424848;-46.74137279999999
03282-000;-23.5818823;-46.5522869;08270-000;-23.5681771;-46.46865589999999
08062-000;-23.5085486;-46.4734814;05449-000;-23.5472187;-46.7059916
02017-000;-23.5000629;-46.6302681;04444-000;-23.6879696;-46.69015039999999
03591-000;-23.550918600000006;-46.48036200000001;05086-000;-23.5256604;-46.7241432
02405-000;-23.4883018;-46.6329228;03066-000;-23.5377129;-46.5748489
08032-000;-23.5151618;-46.42423410000001;02288-000;-23.4365591;-46.57219110000001
08430-000;-23.5309546;-46.4236882;05386-000;-23.5665628;-46.757668
03361-000;-23.5709567;-46.5309696;03088-000;-23.5277432;-46.5611867
01426-000;-23.5647685;-46.66693490000001;08090-000;-23.4822801;-46.4313554
04401-000;-23.6624547;-46.6643689;04619-000;-23.6201624;-46.67944910000001
03050-000;-23.544412;-46.61290620000001;05068-000;-23.5149073;-46.7057114
04106-000;-23.5805454;-46.6339889;02998-000;-23.4329077;-46.7357609
03402-000;-23.542047600000004;-46.5489521;04203-000;-23.5839581;-46.6077091
03693-000;-23.532216100000007;-46.4785658;03385-000;-23.5835522;-46.52528820000001
08295-000;-23.5472912;-46.45012020000001;08280-000;-23.5571559;-46.4665158
05171-000;-23.4778535;-46.7479531;01036-000;-23.5421286;-46.64057649999999
04248-000;-23.613225600000003;-46.5947844;08070-000;-23.4959432;-46.45973529999999
03726-000;-23.5005901;-46.5133288;05469-000;-23.5410369;-46.7193649
02261-000;-23.4675021;-46.5761888;05634-000;-23.605718300000003;-46.7373273
04256-000;-23.6295049;-46.5908287;05469-000;-23.5410369;-46.7193649
04296-000;-23.6183739;-46.6055364;05055-000;-23.5336702;-46.7027253
05180-000;-23.4580145;-46.7471359;01425-000;-23.5725949;-46.6585203
08412-000;-23.5473247;-46.40927670000001;04552-000;-23.5940202;-46.6860241
03312-000;-23.5437272;-46.5614093;04538-000;-23.5903269;-46.6804869
03944-000;-23.6014749;-46.4933009;04445-000;-23.6800637;-46.6860906
04549-000;-23.6032927;-46.676712;02732-000;-23.4991122;-46.696217
04069-000;-23.6254052;-46.64534219999999;05128-000;-23.4912352;-46.7413989
04809-000;-23.7159508;-46.69755749999999;01226-000;-23.5398384;-46.6531041
08151-000;-23.5076249;-46.4044739;04547-000;-23.6015892;-46.67552979999999
03434-000;-23.5579449;-46.5327214;03734-000;-23.5075125;-46.5285616
02242-000;-23.4913156;-46.6087284;03461-000;-23.5713317;-46.525954
02120-000;-23.5126544;-46.5908734;04163-000;-23.6307908;-46.6144469
04846-000;-23.7570314;-46.67657;05445-000;-23.5519979;-46.6986396
03270-000;-23.6004604;-46.5204523;03126-000;-23.581913;-46.59102439999999
02976-000;-23.4810355;-46.71504669999999;04522-000;-23.6031192;-46.6675163
03912-000;-23.5815255;-46.522881;03504-000;-23.5361922;-46.53986159999999
05542-000;-23.5867992;-46.7503093;04313-000;-23.6395034;-46.6404461
05337-000;-23.5506872;-46.7514651;04142-000;-23.610857;-46.63762360000001
03475-000;-23.5709081;-46.5156265;03265-000;-23.5937875;-46.5426578
04363-000;-23.6482796;-46.669374;01229-000;-23.5398857;-46.6597367
05407-000;-23.5561471;-46.67921940000001;04304-000;-23.6268109;-46.6346073
04816-000;-23.7052401;-46.68550140000001;04661-000;-23.657746600000007;-46.6789846
05140-000;-23.4907962;-46.7254881;01047-000;-23.5462364;-46.64110789999999
02881-000;-23.466275;-46.6755374;03210-000;-23.5964344;-46.5556688
04248-000;-23.613225600000003;-46.5947844;01136-000;-23.5243335;-46.6595374
01238-000;-23.5435578;-46.6567873;04606-000;-23.6223312;-46.676758
04846-000;-23.7570314;-46.67657;04306-000;-23.6268109;-46.6346073
02311-000;-23.4676318;-46.6051677;08215-000;-23.5392118;-46.4466061
08270-000;-23.5681771;-46.46865589999999;04707-000;-23.6245086;-46.6942734
05518-000;-23.585972100000006;-46.7281866;04718-000;-23.6344127;-46.70099769999999
04725-000;-23.643779;-46.7052182;03691-000;-23.536095;-46.4812409
04419-000;-23.6860254;-46.6402465;05025-000;-23.5364013;-46.6891018
04661-000;-23.657746600000007;-46.6789846;04558-000;-23.6073994;-46.6801617
03618-000;-23.5172759;-46.52123710000001;03333-000;-23.5552839;-46.5736133
03312-000;-23.5437272;-46.5614093;02975-000;-23.4784537;-46.7132029
02136-000;-23.498731600000006;-46.5826396;02186-000;-23.5139547;-46.5687675
04145-000;-23.6164129;-46.63158199999999;05108-000;-23.5084903;-46.761931
08020-000;-23.5043615;-46.44291;04321-000;-23.6420035;-46.6421748
08062-000;-23.5085486;-46.4734814;01231-000;-23.5393767;-46.6572466
03089-000;-23.5371166;-46.558232200000006;04362-000;-23.6422477;-46.66718
03733-000;-23.5116736;-46.52692649999999;04070-000;-23.6279423;-46.64620619999999
04904-000;-23.6702544;-46.7355044;04559-000;-23.6130293;-46.6799419
02615-000;-23.4727975;-46.65288779999999;08270-000;-23.5681771;-46.46865589999999
02512-000;-23.5130391;-46.6597146;05303-000;-23.5286727;-46.7297698
03978-000;-23.616174800000003;-46.502007;01415-000;-23.5534628;-46.65831379999999
01545-000;-23.578237;-46.6216472;03511-000;-23.5351838;-46.5264918
04248-000;-23.613225600000003;-46.5947844;04709-000;-23.6333085;-46.6920369
04548-000;-23.602414000000003;-46.6761701;02402-000;-23.4981575;-46.62575589999999
08240-000;-23.526461;-46.4455459;04328-000;-23.6631928;-46.63584119999999
05271-000;-23.4294505;-46.79261500000001;04256-000;-23.6295049;-46.5908287
03105-000;-23.555111;-46.6237551;03948-000;-23.5877171;-46.4928016
02238-000;-23.4737967;-46.57378079999999;08042-000;-23.508967;-46.4389261
04785-000;-23.6923812;-46.7136195;02920-000;-23.4911086;-46.7177239
04401-000;-23.6624547;-46.6643689;04090-000;-23.6047974;-46.657255600000006
04363-000;-23.6482796;-46.669374;03322-000;-23.5492244;-46.56804279999999
02266-000;-23.4775089;-46.5984274;05577-000;-23.5776147;-46.7243724
03336-000;-23.5541189;-46.5606477;01529-000;-23.5675926;-46.6337305
04620-000;-23.6231479;-46.68256220000001;04079-000;-23.6073735;-46.6604214
04136-000;-23.6106845;-46.628035;01451-000;-23.5842928;-46.68200299999999
03981-000;-23.6123033;-46.5102874;04313-000;-23.6395034;-46.6404461
02227-000;-23.479626100000004;-46.5722508;05854-000;-23.661872;-46.7639005
02130-000;-23.507854100000007;-46.5848361;02110-000;-23.516588;-46.5952278
05542-000;-23.5867992;-46.7503093;03337-000;-23.5560489;-46.5626138
03655-000;-23.5252385;-46.51472070000001;04119-000;-23.5929439;-46.6351992
03620-000;-23.511072;-46.5084406;04303-000;-23.6245182;-46.6373947
03273-000;-23.5818823;-46.5522869;04102-000;-23.5796083;-46.6393998
04846-000;-23.7570314;-46.67657;03244-000;-23.601002;-46.5394541
04854-000;-23.7676385;-46.694887;04194-000;-23.635277;-46.6156027
02116-000;-23.522351800000006;-46.5872261;04533-000;-23.5826376;-46.6740697
03547-000;-23.5406685;-46.51314650000001;05590-000;-23.5758439;-46.7307162
04846-000;-23.7570314;-46.67657;05158-000;-23.489707;-46.7587313
02346-000;-23.4673367;-46.6059169;03257-000;-23.611393600000003;-46.52896610000001
02225-000;-23.4923468;-46.581895;02165-000;-23.5122483;-46.57707
08223-000;-23.5262763;-46.46604470000001;05366-000;-23.5774778;-46.75540609999999
03360-000;-23.5697294;-46.545334;04623-000;-23.6348257;-46.67494620000001
03152-000;-23.5858581;-46.5843358;04042-000;-23.6025765;-46.6380467
02350-000;-23.4585273;-46.61990429999999;03202-000;-23.6002234;-46.5698414
05323-000;-23.5512567;-46.7487855;08090-000;-23.4822801;-46.4313554
04194-000;-23.635277;-46.6156027;02018-000;-23.498071600000006;-46.62740420000001
03374-000;-23.5759172;-46.5512001;01046-000;-23.546314;-46.64368289999999
03267-000;-23.6012552;-46.527524;03127-000;-23.5789133;-46.586879
02318-000;-23.4497089;-46.5873123;03309-000;-23.5482052;-46.568389
05791-000;-23.6459947;-46.782922;04809-000;-23.7159508;-46.69755749999999
01238-000;-23.5435578;-46.6567873;04618-000;-23.6268136;-46.67787740000001
04516-000;-23.604099800000004;-46.66959809999999;03060-000;-23.539147600000003;-46.5875879
08320-000;-23.6244728;-46.4758366;03429-000;-23.5529634;-46.5382775
03125-000;-23.5704815;-46.5876009;03193-000;-23.5756867;-46.5791309
04264-000;-23.5858706;-46.613166;01227-000;-23.5412882;-46.6555295
08431-000;-23.5341722;-46.4245894;05372-000;-23.5838089;-46.76084470000001
05138-000;-23.485645;-46.731735;05379-000;-23.5667101;-46.75392249999999
08285-000;-23.5545398;-46.4808621;05844-000;-23.6513986;-46.7417197
04339-000;-23.666434;-46.64258;05056-000;-23.5312182;-46.7045042
03089-000;-23.5371166;-46.558232200000006;04304-000;-23.6268109;-46.6346073
03454-000;-23.5667201;-46.5103388;01229-000;-23.5398857;-46.6597367
08280-000;-23.5571559;-46.4665158;03924-000;-23.6002014;-46.511939700000006
05537-000;-23.5871543;-46.7351565;04674-000;-23.665025600000003;-46.686229
04524-000;-23.6074685;-46.66630929999999;05791-000;-23.6459947;-46.782922
03311-000;-23.5477317;-46.5635172;05311-000;-23.5315983;-46.7418047
03274-000;-23.5765759;-46.55659170000001;02435-000;-23.4807722;-46.6384544
03648-000;-23.526263600000004;-46.5262148;04696-000;-23.6748771;-46.6970638
01218-000;-23.531614;-46.64338129999999;01050-000;-23.5498733;-46.642778
02136-000;-23.498731600000006;-46.5826396;05765-000;-23.6283266;-46.7606804
01226-000;-23.5398384;-46.6531041;05629-000;-23.6030169;-46.7300125
03360-000;-23.5697294;-46.545334;03306-000;-23.5453468;-46.57555439999999
04816-000;-23.7052401;-46.68550140000001;05857-000;-23.6626024;-46.7806766
03118-000;-23.5611123;-46.5961535;05145-000;-23.5038602;-46.7186146
03758-000;-23.5045804;-46.50001899999999;01258-000;-23.5419716;-46.6833904
04822-000;-23.7316157;-46.688221;04516-000;-23.604099800000004;-46.66959809999999
05790-000;-23.637305800000004;-46.77945130000001;03178-000;-23.5544927;-46.5873123
04618-000;-23.6268136;-46.67787740000001;04007-000;-23.574273100000006;-46.6530339
03934-000;-23.590534100000006;-46.5016675;03461-000;-23.5713317;-46.525954
04140-000;-23.6074927;-46.6336828;04444-000;-23.6879696;-46.69015039999999
05140-000;-23.4907962;-46.7254881;02406-000;-23.4885648;-46.6314826
03052-000;-23.5405964;-46.6101643;04248-000;-23.613225600000003;-46.5947844
09411-000;-23.7129435;-46.39614520000001;02712-000;-23.5048684;-46.6757249
03169-000;-23.5566908;-46.5943868;05588-000;-23.605103600000003;-46.79575360000001
02939-000;-23.473405;-46.7321349;02440-000;-23.4754777;-46.6482824
03374-000;-23.5759172;-46.5512001;04105-000;-23.5783694;-46.6388074
03475-000;-23.5709081;-46.5156265;04727-000;-23.6415701;-46.71451889999999
03057-000;-23.5422671;-46.59808870000001;05411-000;-23.5560427;-46.67958820000001
04144-000;-23.6183866;-46.6354633;03532-000;-23.5433882;-46.51387860000001
02737-000;-23.4889928;-46.6892778;03906-000;-23.5815792;-46.5115628
03813-000;-23.4890349;-46.4739139;04710-000;-23.6287453;-46.69368720000001
03274-000;-23.5765759;-46.55659170000001;02038-000;-23.4976896;-46.6227214
03125-000;-23.5704815;-46.5876009;02310-000;-23.475786300000006;-46.603137200000006
05586-000;-23.5733005;-46.7273775;04715-000;-23.6367564;-46.6928862
02222-000;-23.4828407;-46.5746603;03362-000;-23.5655179;-46.5420074
01238-000;-23.5435578;-46.6567873;05022-000;-23.5333546;-46.6874194
02532-000;-23.4966587;-46.6596646;04165-000;-23.6239114;-46.6072005
03755-000;-23.5089842;-46.502425;03513-000;-23.5391078;-46.52408459999999
03944-000;-23.6014749;-46.4933009;04863-000;-23.7639164;-46.7076169
02422-000;-23.4714684;-46.6371756;03014-000;-23.5392893;-46.6035839
04809-000;-23.7159508;-46.69755749999999;02471-000;-23.4817155;-46.6524305
02266-000;-23.4775089;-46.5984274;03142-000;-23.592018300000003;-46.57707
03360-000;-23.5697294;-46.545334;04581-000;-23.618665;-46.6878541
02117-000;-23.5218456;-46.5910444;01308-000;-23.5564347;-46.6530153
02464-000;-23.4960923;-46.6433531;02526-000;-23.5025858;-46.64624980000001
03215-000;-23.6082789;-46.5576499;04195-000;-23.6569719;-46.61322879999999
05027-000;-23.5337238;-46.6929631;04547-000;-23.6015892;-46.67552979999999
04960-000;-23.723451;-46.78986219999999;02764-000;-23.4800338;-46.6767349
03363-000;-23.5617537;-46.5396788;04531-000;-23.5810457;-46.6756578
04917-000;-23.6891723;-46.74905829999999;02961-000;-23.4939836;-46.7001172
05581-000;-23.5661992;-46.71763379999999;04171-000;-23.6354037;-46.61331029999999
03424-000;-23.5506361;-46.54085900000001;02241-000;-23.4900099;-46.6067725
02189-000;-23.5080133;-46.5689954;02925-000;-23.5008851;-46.69974939999999
04785-000;-23.6923812;-46.7136195;01221-000;-23.545008600000006;-46.6435669
04823-000;-23.7185026;-46.6917771;03156-000;-23.5811754;-46.5698414
03257-000;-23.611393600000003;-46.52896610000001;04323-000;-23.6511064;-46.64052179999999
03360-000;-23.5697294;-46.545334;03490-000;-23.5556375;-46.51686369999999
01320-000;-23.5582104;-46.6391761;04745-000;-23.6573889;-46.7061901
01238-000;-23.5435578;-46.6567873;03335-000;-23.5541772;-46.57058170000001
03654-000;-23.5250428;-46.5177318;03614-000;-23.5154352;-46.5313065
02842-000;-23.4764598;-46.68723079999999;05586-000;-23.5733005;-46.7273775
01225-000;-23.5415979;-46.6531815;05410-000;-23.557603;-46.67698739999999
02422-000;-23.4714684;-46.6371756;02408-000;-23.4821162;-46.6276997
05854-000;-23.661872;-46.7639005;03308-000;-23.5416277;-46.57093620000001
05140-000;-23.4907962;-46.7254881;01313-000;-23.554765600000003;-46.64856530000001
03089-000;-23.5371166;-46.558232200000006;08470-000;-23.5986339;-46.3996714
05409-000;-23.5586809;-46.6748032;04069-000;-23.6254052;-46.64534219999999
02854-000;-23.4584724;-46.6974573;03405-000;-23.53969;-46.55275289999999
05379-000;-23.5667101;-46.75392249999999;04515-000;-23.6016424;-46.6639981
03889-000;-23.5170405;-46.4762808;04546-000;-23.6004747;-46.6754009
04042-000;-23.6025765;-46.6380467;04107-000;-23.5811883;-46.6349443
04046-000;-23.6094836;-46.6380689;03470-000;-23.5712334;-46.5247773
01235-000;-23.5376505;-46.66484089999999;04142-000;-23.610857;-46.63762360000001
01309-000;-23.5569581;-46.65896770000001;05415-000;-23.5650402;-46.6809885
03937-000;-23.5859836;-46.50101189999999;05058-000;-23.5320338;-46.709708
04904-000;-23.6702544;-46.7355044;05002-000;-23.5290648;-46.6728167
03226-000;-23.5900652;-46.56974719999999;04044-000;-23.6014623;-46.6403652
04833-000;-23.7383177;-46.70028920000001;02342-000;-23.4739185;-46.6110809
08151-000;-23.5076249;-46.4044739;02034-000;-23.5033329;-46.62354439999999
04904-000;-23.6702544;-46.7355044;01403-000;-23.5694873;-46.6541838
03150-000;-23.581913;-46.59102439999999;01534-000;-23.5690497;-46.62695120000001
01022-000;-23.5448448;-46.6334325;01230-000;-23.53611;-46.6569622
05077-000;-23.5193722;-46.7212763;02465-000;-23.4963047;-46.6432273
02234-000;-23.4799831;-46.5698414;05019-000;-23.5333315;-46.6812918
04128-000;-23.6028727;-46.63165120000001;04571-000;-23.6069438;-46.6954541
03944-000;-23.6014749;-46.4933009;04090-000;-23.6047974;-46.657255600000006
04852-000;-23.758213;-46.66263350000001;01231-000;-23.5393767;-46.6572466
03215-000;-23.6082789;-46.5576499;08275-000;-23.568724300000003;-46.475454
08220-000;-23.5367422;-46.46762400000001;05036-000;-23.5163686;-46.6905783
04846-000;-23.7570314;-46.67657;04304-000;-23.6268109;-46.6346073
08280-000;-23.5571559;-46.4665158;03311-000;-23.5477317;-46.5635172
01309-000;-23.5569581;-46.65896770000001;01456-000;-23.5755225;-46.69281289999999
03244-000;-23.601002;-46.5394541;08280-000;-23.5571559;-46.4665158
03936-000;-23.5901627;-46.49641010000001;03118-000;-23.5611123;-46.5961535
02188-000;-23.510525;-46.5655908;03227-000;-23.5892162;-46.5677875
05337-000;-23.5506872;-46.7514651;02415-000;-23.4734933;-46.6302071
08245-000;-23.5225461;-46.4405069;04202-000;-23.5798832;-46.6061602
08240-000;-23.526461;-46.4455459;05850-000;-23.6585057;-46.7600597
03674-000;-23.5173699;-46.4978773;05122-000;-23.5059042;-46.7344944
03515-000;-23.5381596;-46.5279816;04607-000;-23.6233153;-46.67618820000001
03188-000;-23.5622355;-46.5773106;08061-000;-23.502056;-46.4638334
03181-000;-23.561388600000004;-46.5876735;05468-000;-23.5387546;-46.71684550000001
03647-000;-23.526272100000003;-46.52832120000001;03042-000;-23.5499569;-46.6176802
08253-000;-23.5413722;-46.43940689999999;04717-000;-23.63546;-46.6984727
03874-000;-23.5118682;-46.49559470000001;05414-000;-23.5625918;-46.6814502
08151-000;-23.5076249;-46.4044739;05009-000;-23.5366504;-46.6746642
03560-000;-23.5462072;-46.5009506;04564-000;-23.612962300000003;-46.6856253
02435-000;-23.4807722;-46.6384544;03152-000;-23.5858581;-46.5843358
02521-000;-23.5025043;-46.66329320000001;04674-000;-23.665025600000003;-46.686229
04805-000;-23.7153858;-46.7025329;05025-000;-23.5364013;-46.6891018
03694-000;-23.5398461;-46.47656629999999;02318-000;-23.4497089;-46.5873123
02940-000;-23.4805994;-46.72319870000001;05468-000;-23.5387546;-46.71684550000001
08295-000;-23.5472912;-46.45012020000001;08020-000;-23.5043615;-46.44291
02618-000;-23.4672864;-46.65075760000001;03637-000;-23.5242763;-46.5444715
05131-000;-23.501592;-46.7428037;01403-000;-23.5694873;-46.6541838
01332-000;-23.5598025;-46.6530639;05119-000;-23.4974503;-46.73553029999999
05777-000;-23.6467713;-46.7635879;03146-000;-23.6046349;-46.5684279
04128-000;-23.6028727;-46.63165120000001;05302-000;-23.5298714;-46.7277481
02017-000;-23.5000629;-46.6302681;04634-000;-23.636908;-46.6687234
03213-000;-23.6051489;-46.5599094;03210-000;-23.5964344;-46.5556688
03164-000;-23.5498154;-46.6115849;04006-000;-23.5777562;-46.6476041
02119-000;-23.5175423;-46.58912479999999;04231-000;-23.6044732;-46.59777800000001
05624-000;-23.5941859;-46.7277117;03964-000;-23.6058686;-46.4786795
05116-000;-23.5122465;-46.7472719;02244-000;-23.4907483;-46.6065098
04149-000;-23.6174304;-46.6175831;04044-000;-23.6014623;-46.6403652
04904-000;-23.6702544;-46.7355044;05092-000;-23.5152829;-46.71521729999999
02243-000;-23.4916515;-46.6035839;08460-000;-23.5459902;-46.4029025
03687-000;-23.529474800000006;-46.4876288;04707-000;-23.6245086;-46.6942734
03337-000;-23.5560489;-46.5626138;03116-000;-23.5665408;-46.58807849999999
04339-000;-23.666434;-46.64258;04822-000;-23.7316157;-46.688221
04311-000;-23.633986;-46.6379525;05858-000;-23.6626024;-46.7806766
04045-000;-23.6093363;-46.63780260000001;05350-000;-23.569893;-46.76019429999999
05727-000;-23.6195342;-46.73485609999999;04052-000;-23.6105788;-46.63866960000001
01512-000;-23.5539527;-46.6311295;04116-000;-23.59211;-46.6274492
04602-000;-23.6244649;-46.6834867;03644-000;-23.5264674;-46.5331396
03260-000;-23.6052566;-46.51927050000001;03360-000;-23.5697294;-46.545334
03314-000;-23.5387326;-46.56683029999999;05409-000;-23.5586809;-46.6748032
01022-000;-23.5448448;-46.6334325;05754-000;-23.6181831;-46.7530499
03181-000;-23.561388600000004;-46.5876735;03622-000;-23.5203904;-46.5203227
04846-000;-23.7570314;-46.67657;05182-000;-23.4509866;-46.7459221
03312-000;-23.5437272;-46.5614093;04856-000;-23.7642401;-46.694036200000006
04167-000;-23.632881;-46.6125018;04141-000;-23.608222100000006;-46.6291009
08151-000;-23.5076249;-46.4044739;03364-000;-23.5650198;-46.537616
08161-000;-23.5014931;-46.41515829999999;02452-000;-23.503278;-46.6421547
03052-000;-23.5405964;-46.6101643;05376-000;-23.5773687;-46.7651721
08280-000;-23.5571559;-46.4665158;02860-000;-23.4545031;-46.6950561
03126-000;-23.581913;-46.59102439999999;04121-000;-23.5975558;-46.6269553
05020-000;-23.5336737;-46.6832955;01327-000;-23.5533104;-46.64694220000001
04401-000;-23.6624547;-46.6643689;08295-000;-23.5472912;-46.45012020000001
08030-000;-23.5055773;-46.42248710000001;02406-000;-23.4885648;-46.6314826
03311-000;-23.5477317;-46.5635172;04606-000;-23.6223312;-46.676758
03755-000;-23.5089842;-46.502425;03210-000;-23.5964344;-46.5556688
01026-000;-23.5394056;-46.63278769999999;05011-000;-23.5423967;-46.67157
08430-000;-23.5309546;-46.4236882;03067-000;-23.5373312;-46.573668700000006
04646-000;-23.6433516;-46.67480670000001;05437-000;-23.5477277;-46.68900259999999
03690-000;-23.527349800000003;-46.4790647;04571-000;-23.6069438;-46.6954541
09070-000;-23.65661;-46.553952;01229-000;-23.5398857;-46.6597367
01526-000;-23.5641757;-46.631494;03607-000;-23.5206304;-46.5440289
03215-000;-23.6082789;-46.5576499;03445-000;-23.5485644;-46.5299006
04795-000;-23.6545662;-46.72488380000001;02536-000;-23.4960683;-46.6474223
01022-000;-23.5448448;-46.6334325;04041-000;-23.6013552;-46.6397316
08060-000;-23.5026551;-46.4531318;05842-000;-23.6513986;-46.7417197
01332-000;-23.5598025;-46.6530639;02562-000;-23.4865975;-46.6743433
01545-000;-23.578237;-46.6216472;08421-000;-23.5673807;-46.42248710000001
03905-000;-23.5789139;-46.5144605;03512-000;-23.5367893;-46.5258379
03694-000;-23.5398461;-46.47656629999999;02256-000;-23.4754203;-46.58719
02041-000;-23.4921174;-46.61804179999999;05119-000;-23.4974503;-46.73553029999999
03268-000;-23.5978343;-46.52858060000001;04918-000;-23.689047100000003;-46.7418047
08041-000;-23.5181818;-46.4436578;04671-000;-23.653649100000006;-46.68456610000001
04781-000;-23.687963600000003;-46.7025329;02234-000;-23.4799831;-46.5698414
03805-000;-23.5060393;-46.48247720000001;02208-000;-23.483131600000004;-46.5915896
02069-000;-23.5052399;-46.6132771;04288-000;-23.6113478;-46.6137321
05352-000;-23.5445512;-46.7630442;05441-000;-23.5443891;-46.6953164
04297-000;-23.6317848;-46.6046343;04357-000;-23.6373671;-46.6563885
04691-000;-23.6668358;-46.6931531;05756-000;-23.623969;-46.75138949999999
03121-000;-23.5621022;-46.5978592;04015-000;-23.5840561;-46.63704310000001
04661-000;-23.657746600000007;-46.6789846;01151-000;-23.5307826;-46.6569873
02611-000;-23.4714594;-46.6665266;04184-000;-23.6496417;-46.599973
03371-000;-23.571301;-46.548474;03115-000;-23.5497004;-46.5960461
04203-000;-23.5839581;-46.6077091;04104-000;-23.5765902;-46.6406904
03655-000;-23.5252385;-46.51472070000001;08285-000;-23.5545398;-46.4808621
04782-000;-23.6869771;-46.7036182;04459-000;-23.6941808;-46.6723447
04753-000;-23.651162;-46.7090565;04860-000;-23.7575421;-46.71553
08270-000;-23.5681771;-46.46865589999999;04385-000;-23.664466600000004;-46.6529167
04854-000;-23.7676385;-46.694887;03880-000;-23.5075969;-46.4897779
02670-000;-23.4670108;-46.663306;02201-000;-23.4855348;-46.5922002
02253-000;-23.4788267;-46.5955443;04677-000;-23.6674194;-46.6817031
04904-000;-23.6702544;-46.7355044;05421-000;-23.5651099;-46.6916924
03556-000;-23.540259;-46.5017115;02076-000;-23.5062342;-46.5992112
08280-000;-23.5571559;-46.4665158;05187-000;-23.4442681;-46.7514763
04691-000;-23.6668358;-46.6931531;04710-000;-23.6287453;-46.69368720000001
02532-000;-23.4966587;-46.6596646;03626-000;-23.5133551;-46.5087983
04904-000;-23.6702544;-46.7355044;03801-000;-23.5034476;-46.48764600000001
08245-000;-23.5225461;-46.4405069;04717-000;-23.63546;-46.6984727
03908-000;-23.5820914;-46.5071588;02244-000;-23.4907483;-46.6065098
03317-000;-23.5426194;-46.56176259999999;04602-000;-23.6244649;-46.6834867
04310-000;-23.6320534;-46.6409684;02634-000;-23.4611527;-46.6657929
01215-000;-23.5351604;-46.6469783;04296-000;-23.6183739;-46.6055364
04918-000;-23.689047100000003;-46.7418047;04810-000;-23.7105764;-46.69584860000001
03311-000;-23.5477317;-46.5635172;01321-000;-23.5613555;-46.6406668
02012-000;-23.514996300000004;-46.6303084;04159-000;-23.6228118;-46.6124306
03333-000;-23.5552839;-46.5736133;01453-000;-23.5812695;-46.6832888
04549-000;-23.6032927;-46.676712;05422-000;-23.5668897;-46.6868328
