username,date,year,month,day,hour,minute,second,text,text_clean
jadirsoul,2018-09-09 18:00:30-07:00,2018,9,9,18,0,30,Quem não está em SP não tem como ver o #debate #GazetaEstadaoJP ?! Não tá no @YouTubeBrasil não tá no @TwitterBrasil ...,sp comer o debater gazetaestadaojp ? ! tá o @youtubebrasil tá o @twitterbrasil ...
opsdebora,2018-09-09 18:00:30-07:00,2018,9,9,18,0,30,RT @_thalesnogueira: É um desperdício total um debate presidencial acontecer logo após uma rodada de futebol e isso não ser aproveitado com…,@_thalesnogueira : desperdício total debater presidencial acontecer umar rodar futebol e aproveitar …
tututztutztutz,2018-09-09 18:00:30-07:00,2018,9,9,18,0,30,RT @Matheus_fraga_: Meu deus é uma sala de aula da Fundação Cásper Líbero https://t.co/vkpxyqJNEI,@matheus_fraga _ : deus umar sala aula fundação cásper líbero https://t.co/vkpxyqjnei
ellengarciasz,2018-09-09 18:00:31-07:00,2018,9,9,18,0,31,linda pra caramba meo,lindo pra caramba meo
amandamullerbr,2018-09-09 18:00:31-07:00,2018,9,9,18,0,31,"RT @elpais_brasil: Acompanhe o minuto a minuto do debate, que começa agora. É a primeira vez que os candidatos à Presidência se encontram a…","@elpais_brasil : acompanhar o minutar o minutar debater , comedir . o o candidato presidência encontrar o …"
CH3COOHipester,2018-09-09 18:00:32-07:00,2018,9,9,18,0,32,"Link do debate pra quem precisa
https://t.co/Mkm8NktJFU",link debater pra preciso https://t.co/mkm8nktjfu
astor_dasilva,2018-09-09 18:00:33-07:00,2018,9,9,18,0,33,Hoje tem debate,debater
NakedDog,2018-09-09 18:00:33-07:00,2018,9,9,18,0,33,"@HayashiXPG não! o pai de geral morreu, então geral vai ver o debate, pra fazer memes, pra vê se levanta o ânimo da galera","@hayashixpg ! o pai morrer , o debater , pra memes , pra levantar o ânimo galera"
Matheusozado,2018-09-09 18:00:33-07:00,2018,9,9,18,0,33,"RT @Estadao: Presidenciáveis participam do debate #GazetaEstadaoJP; acompanhe os bastidores em https://t.co/3xJCbWSFJI #eleicoes2018

https…",@estadao : presidenciáveis participar debater gazetaestadaojp ; acompanhar o bastidor https://t.co/3xjcbwsfji eleicoes2018 https …
mtuaaes,2018-09-09 18:00:34-07:00,2018,9,9,18,0,34,"Sem Bonoro, PT e Daciolo o debate deve ser bastante civilizado (chato).","bonoro , pt e daciolo o debater dever civilizar ( chato ) ."
RabelloElton,2018-09-09 18:00:36-07:00,2018,9,9,18,0,36,"Começoooo!!!!
#Ciro12 #GazetaEstadaoJP — assistindo Debate de presidenciáveis na TV Gazeta",começoooo ! ! ! ! ciro12 gazetaestadaojp -- assistir debater presidenciáveis o tv gazeta
sastheus,2018-09-09 18:00:36-07:00,2018,9,9,18,0,36,@bisgabi depoi do debate eh nois !,@bisgabi depoi debater eh nois !
dariofduarte,2018-09-09 18:00:37-07:00,2018,9,9,18,0,37,"É agora, vamos acompanhar o debate da #GazetaEstadaoJP com @CiroGomes. Sintonizem já! #Ciro12",", acompanhar o debater gazetaestadaojp @cirogomes . sintonizar ! ciro12"
CaioSantos97,2018-09-09 18:00:38-07:00,2018,9,9,18,0,38,"#GazetaEstadaoJP
Debate histórico, inédito e atípico sem os dois líderes das pesquisas: um preso e outro no hospital.","gazetaestadaojp debater histórico , inédito e atípico o líder pesquisar : presar e o hospital ."
woarthy,2018-09-09 18:00:38-07:00,2018,9,9,18,0,38,cheguei pro debate,chegar pro debater
EuAllanMarques,2018-09-09 18:00:38-07:00,2018,9,9,18,0,38,Começou o debate,começar o debater
thalescmachado,2018-09-09 18:00:38-07:00,2018,9,9,18,0,38,"NET aqui no Rio, canal 687, tem o sinal da TV Gazeta. Debate entre os presidenciáveis (com um preso, outro no hospi… https://t.co/KwYK9g1Es2","net o rir , canal 687 , o sinal tv gazeta . debater entrar o presidenciáveis ( presar , o hospi … https://t.co/kwyk9g1es2"
lewownardo,2018-09-09 18:00:38-07:00,2018,9,9,18,0,38,"VAI COMEÇAR A PUTAAAAAAAAAAARIAAAAAAA

(DEBATE NA TV GAZETA)

MR. CATRA REFERENCES 😖😖😖😖😖",começar o putaaaaaaaaaaariaaaaaaa ( debater o tv gazeta ) mr . catra references 😖 😖 😖 😖 😖
olhosateus,2018-09-09 18:00:38-07:00,2018,9,9,18,0,38,Só os nerds de política assistindo debate agora,só o nerds político assistir debater
_SR14G,2018-09-09 18:00:39-07:00,2018,9,9,18,0,39,"RT @Estadao: Presidenciáveis participam do debate #GazetaEstadaoJP; acompanhe os bastidores em https://t.co/3xJCbWSFJI #eleicoes2018

https…",@estadao : presidenciáveis participar debater gazetaestadaojp ; acompanhar o bastidor https://t.co/3xjcbwsfji eleicoes2018 https …
