username,date,year,month,day,hour,minute,second,text,text_clean,sentiment
20-Sep,2018-09-09 18:09:14-07:00,2018,9,9,18,9,14,Comecei a assistir o debate e já estou com sono #Eleicoes2018 #GazetaEstadaoJP https://t.co/fbOHva1v28,começar o assistir o debater e sono eleicoes2018 gazetaestadaojp https://t.co/fbohva1v28,-1
lequinhoma,2018-09-09 18:09:21-07:00,2018,9,9,18,9,21,Debate de domingo é um treco caido pa caralho,debater domingo treco caido pa caralho,-1
208robertobruno,2018-09-09 18:09:38-07:00,2018,9,9,18,9,38,"Vai já começar mais uma palestra, ops debate #ciro12 https://t.co/Qknwxfijf4","começar umar palestrar , ops debater ciro12 https://t.co/qknwxfijf4",1
lucas_yankee,2018-09-09 18:09:40-07:00,2018,9,9,18,9,40,"Pra quem estiver interessado, tá rolando debate presidencial na TV GAZETA. #GazetaEstadaoJP","pra interessar , tá rolar debater presidencial o tv gazeta . gazetaestadaojp",1
mdprl,2018-09-09 18:09:57-07:00,2018,9,9,18,9,57,"o debate de hoje tá mais sério, amém","o debater tá sério , amém",1
ToffolettoCatia,2018-09-09 18:09:59-07:00,2018,9,9,18,9,59,Agora outro show de horror : debate político,show horror : debater político,-1
dispensevei,2018-09-09 18:10:58-07:00,2018,9,9,18,10,58,"Sem Bolsonaro, Haddad e Daciolo, esse debate parece ser o primeiro onde se falará mais de propostas do que apenas ataques #GazetaEstadaoJP","bolsonaro , haddad e daciolo , debater parecer o falar proposto ataque gazetaestadaojp",1
CH3COOHipester,2018-09-09 18:10:59-07:00,2018,9,9,18,10,59,"Meu pc travando na hora do debate, que inferno","pc travar o horar debater , infernar",-1
MrioSrgioDaSil7,2018-09-09 18:11:42-07:00,2018,9,9,18,11,42,"Marina Silva, acabou de lamentar a ausência de dois  candidatos, um por estar hospitalizado e outro impedimento jud… https://t.co/DZgGTe47dg","marino silvar , acabar lamentar o ausência candidato , hospitalizar e impedimento jud … https://t.co/dzggte47dg",1
vitorrcz,2018-09-09 18:11:42-07:00,2018,9,9,18,11,42,Debate da Gazeta é muito irrelevante,debater gazeta irrelevante,-1
ofilipequintans,2018-09-09 18:11:44-07:00,2018,9,9,18,11,44,Nesse ritmo esse debate vai terminar depois do segundo turno. #GazetaEstadaoJP,n ritmar debater terminar segundar turno . gazetaestadaojp,-1
caferrinha,2018-09-09 18:11:49-07:00,2018,9,9,18,11,49,Putz perdi o debate.,putz perder o debater .,-1
blowhive,2018-09-09 18:11:54-07:00,2018,9,9,18,11,54,vendo debate aqui de boas,debater,1
jr_smota,2018-09-09 18:12:16-07:00,2018,9,9,18,12,16,Comecou o primeiro debate sem Bozo e ainda sem o PT #GazetaEstadaoJP,comecou o debater bozo e o pt gazetaestadaojp,1
jorkeperalta,2018-09-09 18:13:09-07:00,2018,9,9,18,13,9,assistindo o debate pra passar ódio e esquecer a dor da alma,assistir o debater pra passar ódio e esquecer o dor almo,-1
_notDaniel,2018-09-09 18:43:27-07:00,2018,9,9,18,43,27,ceis são muito animados pra ver debate num pleno domingo,ceis animar pra debater pleno domingo,1
DanielM4G4,2018-09-09 18:46:09-07:00,2018,9,9,18,46,9,"#GazetaEstadaoJP

Que debate atrapalhado e sem ideias ou propostas, apenas há sujeira de todos os lados","gazetaestadaojp debater atrapalhar e ideia proposto , haver sujeira o",-1
JREPiza,2018-09-09 18:46:11-07:00,2018,9,9,18,46,11,RT @IvanValente: Boulos arrasa o banqueiro Meirelles no debate agora na TV.Disse taxativamente que vai acabar c/o bolsa banqueiro e que vai…,@ivanvalente : boulos arrasar o banqueiro meirelles o debater o tv.disse taxativamente acabar c / o bolsar banqueiro e …,1
RodP13,2018-09-09 18:46:15-07:00,2018,9,9,18,46,15,"Debate sem Lula é fraude. E a ONU afirma.

#LulaLivre pelo #OBrasilFelizDeNovo 

""AGORA: Presidenciáveis se enfrent… https://t.co/A2pRWIdnyi","debater lula fraudar . e o onu afirmar . lulalivre pelar obrasilfelizdenovo "" : presidenciáveis enfrent … https://t.co/a2prwidnyi",-1
ThiagoMacinelli,2018-09-09 18:46:22-07:00,2018,9,9,18,46,22,"Infelizmente falta culhões para a mídia fazer o certo. Vivem reclamando que nunca tem gente nova, e quando tem faze… https://t.co/JofcMtN4IG","infelizmente falto culhões parir o mídia o certar . viver reclamar gente , e … https://t.co/jofcmtn4ig",-1
Vegeta_d_Bigode,2018-09-09 18:46:28-07:00,2018,9,9,18,46,28,A APRESENTADORA DESSE DEBATE PARECE QUE SAIU DE UM SARCÓFAGO,o apresentador d debater parecer sair sarcófago,-1
bbeella__,2018-09-09 18:46:47-07:00,2018,9,9,18,46,47,cirão da massa mandando um latim no debate enquanto profissional do Direito kkkk estranho seria caso contrário fosse,cirão massa mandar latim o debater profissional direito kkkk estranhar seriar casar contrário,1
koreivo,2018-09-09 18:46:47-07:00,2018,9,9,18,46,47,"Marina, dizer que PT é igual ao PSDB assaltando Petrobras, Caixa, Correios, Banco do Brasil, BNDES não é correto. Q… https://t.co/EAPQMfXZrd","marino , pt igual o o psdb assaltar petrobras , caixa , correio , banco brasil , bndes corretar . q … https://t.co/eapqmfxzrd",-1
leandroconexao,2018-09-09 18:46:48-07:00,2018,9,9,18,46,48,"Esse debate tá até coerente sem o Bozonaro. 
#GazetaEstadaoJP",debater tá coerente o bozonaro . gazetaestadaojp,1
eudoardasapatao,2018-09-09 18:46:49-07:00,2018,9,9,18,46,49,pelo bem da minha saúde mental não irei assistir o debate,pelar saudar mental irar assistir o debater,1
lannanormando1,2018-09-09 18:46:50-07:00,2018,9,9,18,46,50,"RT @feiipes: Como é bom assistir um debate sem o Bolsonaro e o Cabo Daciolo. Sem delírio, falta de educação e absurdos que não fazem sentid…","@feiipes : comer assistir debater o bolsonaro e o cabo daciolo . delírio , falto educação e absurdo sentid …",1
bah_cagay,2018-09-09 18:46:50-07:00,2018,9,9,18,46,50,"Não existe nada mais gostoso no debate do que ver o Ciro gesticulando.

Que coisa mais fofa e gostosa de se ver.",existir nado gostoso o debater o ciro gesticular . fofo e gostoso .,1
TreTaless,2018-09-09 18:46:52-07:00,2018,9,9,18,46,52,Ciro Gomes dando aula de direito penal no debate!! #Ciro12 #CiroPresidente12 #CiroNo2Turno #GAZETAESTADAOJP,ciro gomar aula direito penal o debater ! ! ciro12 ciropresidente12 cirono2turno gazetaestadaojp,1
ninfadodelirio,2018-09-09 18:46:54-07:00,2018,9,9,18,46,54,vendo esse debate cada vex q o ciro abre a boca eh um tiro no meu cuuuewjwehkefbjqebkfblqlfjqqjv,debater vex q o ciro abrir o bocar eh tirar o cuuuewjwehkefbjqebkfblqlfjqqjv,-1
soucleverton,2018-09-09 18:46:54-07:00,2018,9,9,18,46,54,"Cansei do debate, coloquei na @GloboNews","cansar debater , colocar o @globonews",-1
RPU20,2018-09-09 18:46:54-07:00,2018,9,9,18,46,54,Ciro e Boulos salva-se apenas,ciro e boulos salvo -,1
PretiVill,2018-09-09 18:46:56-07:00,2018,9,9,18,46,56,@alvarodias_ Debate sem Bolsonaro e Mourão é golpe....,@alvarodias _ debater bolsonaro e mourão golpe ....,-1
lovekatypurry,2018-09-09 18:46:59-07:00,2018,9,9,18,46,59,"Acho que se eu fosse candidato, e o mediador me interrompesse no debate, eu tacaria o púlpito na cara dele. DEIXA O POVO FALAR DESGRAÇA!","achar candidatar , e o mediador interromper o debater , tacar o púlpito o caro d . deixar o falar desgraçar !",-1
dieg0_hernandez,2018-09-09 18:46:59-07:00,2018,9,9,18,46,59,"Cirão se saindo muito bem no Debate !!!!!
#Ciro12
 
#GazetaEstadaoJP",cirão sair o debater ! ! ! ! ! ciro12 gazetaestadaojp,1
